fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2021-10-01,UAL,0.7276251188963477,-0.059437444781486604,0.12020951083942763,0.08058257086766636,0.5855172981819191,-0.377243892563099,0.75,10.0,0.058644381478938266,0.7961893539171075,-103.9325625285796
2021-11-01,UAL,0.7683996742234042,-0.059439341825784614,0.12382174346750816,0.01722378802374012,0.13463606349818721,-0.429612633283844,0.75,10.0,0.058157464584743954,0.6386066498711994,-103.95337338169621
2021-12-01,UAL,0.7900202301511738,-0.0533447265625,0.12016134946828017,-0.1284549612248956,-0.9114018630408486,-0.40909704413551085,0.75,10.0,0.05370410839160839,0.5189308896225434,-16.615194564546016
2017-03-01,OPRT,0.25128490068065007,0.0,,0.01610053496985203,,,0.0,,,,26.610729456742657
2017-04-01,OPRT,-0.37435754965967494,-0.024070876750096767,,0.003028808875665998,,,0.0,,,,23.92352343137949
2017-05-01,OPRT,-0.5829050331064499,-0.019244211661904383,,0.0036724206252912884,,,0.0,,,,24.25109814304122
2017-06-01,OPRT,-0.5813704496788009,0.0,,0.009212830194988069,,,0.0,,,,26.610729456742657
2017-07-01,OPRT,0.06416036295601546,0.017147901809188206,,0.014328353366023911,,,0.0,,,,29.891078554856254
2017-08-01,OPRT,0.8131975429080542,0.02126228263752961,,0.01427505159483247,,,0.0,,,,33.30189666433416
2017-09-01,OPRT,1.394567992586855,0.0,,0.00201285127183593,,,0.0,,,,35.70145581786564
2017-10-01,OPRT,1.6235557699280583,-0.05475891296884364,,-0.025608251738862154,,,0.25,,,,36.33864878987821
2017-11-01,OPRT,2.0,-0.11711059047855785,,-0.05271135169454518,,,0.5,,,,35.63470988201819
2017-12-01,OPRT,,-0.12176115332164426,0.050694585614806414,-0.04709150221246084,,,0.75,4.606320393859556,,0.25352295603610625,34.26255937440148
2018-01-01,OPRT,-1.0,-0.06838538402766763,0.0678101394811684,0.01843284697789945,,,0.75,4.995016940080393,,0.2302271986052371,32.74024382017924
