fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2025-08-01,ACHC,0.8023274296905182,-0.04492823741020432,0.1352101169401486,0.030578231665041474,0.9336385002338696,-0.5843591600289646,0.0,0.9790689041549382,0.011618122289658911,0.20783270693461145,26.247547714088387
2025-09-01,ACHC,0.92050038055344,-0.09340127035497837,0.13279391760871054,0.01161620191924038,0.323212350175212,-0.5517740767559739,0.0,1.0008056925350375,0.012061638506109982,0.23350869662087756,16.164002472842885
2025-10-01,ACHC,0.9470431685114677,-0.2942420440637081,0.13247612069472486,-0.05319626370065828,-1.60362924811016,-0.610789283128168,0.25,1.0772888226400243,0.012259182708588452,0.2702982121534796,4.034842747784671
2025-11-01,ACHC,0.9539811289521603,-0.7455697423175993,0.13667170282764604,-0.2152747199070094,-7.063084767576349,-0.6886314265025344,0.25,1.2707630183490115,0.01192020600407103,0.3082874270847858,-8.683136738538835
2025-12-01,ACHC,,-1.4815602482899328,0.14861451432921666,-0.6041781257696412,-18.350392845572333,-0.7431209268645909,0.25,1.7377965684262375,0.010826475570601483,0.33549373944563365,-19.08250591539329
2021-03-01,ATO,0.7917871368203967,-0.01763511193087873,0.06796259018456052,0.03794359362863088,0.4648452715816605,0.1683016191939486,1.0,1.4816514670579248,0.057434933358123906,0.5679253536385022,-241.44730729924746
2021-04-01,ATO,0.8121923968887301,-0.011238979984657777,0.0506719709477943,0.02973078803126238,0.344664533837826,0.224323366032384,1.0,1.488543748557947,0.221741125791341,0.6108525843995378,-89.69712686569251
2021-05-01,ATO,0.8255387617266035,-0.01285555205600177,0.038955292412594364,0.02123186190521958,0.2549917408147152,0.17208367805223967,1.0,1.4885698650191248,0.18376770272418572,0.5800116659071951,-3.5090456707650333
2021-06-01,ATO,0.8431777768424483,-0.024894600472625848,0.03135073064624224,0.013173937238591683,0.16207965798560237,0.13591774021983216,0.75,1.4846972339504265,0.09361647259900087,0.4197950805866391,37.08060173706706
2021-07-01,ATO,0.827993069079124,-0.04289451043959727,0.027713384304320753,0.0073081303901308846,0.08727034312278217,0.16522869637158744,0.5,1.4800803966871128,0.06615569557171541,0.029178772181910968,43.43080161881554
2021-08-01,ATO,0.7731082672968382,-0.056766322710925174,0.02711490031563734,0.0044896719060889085,0.054185962699149014,0.15246424772485523,0.25,1.4774375292643191,0.056455434933019244,-0.4906627561387593,30.281810209363044
2021-09-01,ATO,0.7508450779480316,-0.0552865668280599,0.0289863734710711,0.006161715435742174,0.08263670943472572,0.04242997281645189,0.0,1.4799465377596674,0.05517874972759165,-0.9136432606978543,11.102783325479283
2021-10-01,ATO,0.7870094188552549,-0.03921051192647948,0.032697311285399586,0.012482809380468456,0.1620625698892546,0.08876019383051648,0.25,1.4875912760896983,0.05935419933264228,-1.0502140353681118,-1.741126743852381
2021-11-01,ATO,0.8696588875440279,-0.020709762734919625,0.0392696110457476,0.021586179253889663,0.2906313183810866,0.06748611275262961,0.5,1.4909643668732249,0.06451225640713988,-0.8701337810220693,-3.653111234376671
2021-12-01,ATO,0.9229510732588194,-0.011008248534241193,0.04929410335473205,0.030063049298845713,0.3558451897521746,0.23826970807233194,0.5,1.4785176991016997,0.0642870317514239,-0.5263666224441689,9.248928483270875
2022-01-01,ATO,0.9314794709896576,-0.010361838395805843,0.06311300631627821,0.035997595063894335,0.42546567957951,0.26722609620612214,0.5,1.4438393046728109,0.05329238400713587,-0.19840605296068495,37.991336076261724
2022-02-01,ATO,0.920029771619125,-0.012675451319541394,0.07471185166571434,0.0380629472152258,0.44791057979153337,0.297837135090415,0.25,1.4007026741676,0.03816581513474614,0.01933730799117971,68.66887288776677
2022-03-01,ATO,0.9034141380630819,-0.014374304090327484,0.07756137035043204,0.03617840841452257,0.39634018348472816,0.41224441555371705,0.0,1.3678722054459025,0.030013252645542225,0.13422952959780202,84.32204007285975
2022-04-01,ATO,0.8910833280597625,-0.014759663937445398,0.06857738971467021,0.030006598967402178,0.34897460302833916,0.3402671079068669,0.0,1.347503247171604,0.03429815579084884,0.18745805678819685,78.96834312097417
2022-05-01,ATO,0.8871012645956317,-0.014494813954667434,0.05309283558908029,0.02192411806319995,0.249169049974378,0.37466020564945035,0.0,1.3395174594653059,0.0488173516018574,0.20064711672432745,60.3963375497472
2022-06-01,ATO,0.8904500471355336,-0.01583358748893045,0.03770079671274029,0.013869726831755694,0.1635515580837842,0.32490249379505953,0.0,1.3365434237240552,0.0687281248264484,0.14515826009802055,41.194919665970176
2022-07-01,ATO,0.8920751466402214,-0.022420414493937384,0.029247624137949513,0.008425215158521376,0.09175704713000314,0.43470039002481986,0.0,1.3347289163924847,0.08730405204637484,-0.05259393465379581,31.644842293385686
2022-08-01,ATO,0.8773488988765816,-0.03023139646079757,0.027716207659919938,0.006083483964741287,0.0711010237300563,0.34003072922822364,0.0,1.3388381008428336,0.10134855471079851,-0.38003737415830585,23.912040280993786
2022-09-01,ATO,0.8533049501262799,-0.029452221613333555,0.032561093956294036,0.007606147981795696,0.09961999566579392,0.20375842099042663,0.0,1.3561709935703987,0.10653999888969078,-0.6452863679909581,6.835858943492423
2022-10-01,ATO,0.8402132492127873,-0.021525983178398236,0.04180675540467311,0.012790029786529671,0.16197379248926935,0.25930741047157535,0.25,1.3855909317513,0.10245193573045568,-0.6584443911327804,-21.09530786330324
