timestamp,ticker,signal,return,success
2022-04-05,AMH,BUY,0.0027445109780438,1
2022-04-06,AMH,BUY,0.01775,1
2022-04-07,AMH,BUY,0.0115849149617944,1
2022-04-08,AMH,BUY,-0.0068192888455918,0
2022-04-11,AMH,SELL,0.0063678667646337,1
2022-04-12,AMH,SELL,-0.0093411996066863,0
2022-04-13,AMH,SELL,-0.0094821298322392,0
2022-04-14,AMH,SELL,0.0083532219570406,1
2022-04-18,AMH,SELL,-0.0041082648622521,0
2022-04-19,AMH,SELL,-0.0321651464234278,0
2022-04-20,AMH,BUY,0.0002307337332717,1
2022-04-21,AMH,SELL,0.0096551724137931,1
2022-04-22,AMH,SELL,0.010942956926659,1
2022-04-25,AMH,BUY,-0.028066037735849,0
2022-04-26,AMH,SELL,0.0051094890510949,1
2022-04-27,AMH,SELL,0.0026894865525672,1
2022-04-28,AMH,BUY,0.0066111655239959,1
2022-04-29,AMH,SELL,0.0341380151182638,1
2022-05-02,AMH,BUY,-0.0322824716267339,0
2022-05-03,AMH,BUY,-0.0031233732431026,0
2022-05-04,AMH,SELL,-0.003143006809848,0
2022-05-05,AMH,SELL,0.0235232618923156,1
2022-05-06,AMH,BUY,0.0072697899838448,1
2022-05-09,AMH,BUY,-0.0396975425330812,0
2022-05-10,AMH,BUY,-0.0013989927252379,0
2022-05-11,AMH,BUY,-0.0083705357142858,0
2022-05-12,AMH,BUY,0.0109735509285312,1
2022-05-13,AMH,BUY,0.036197844708483,1
2022-05-16,AMH,SELL,0.0109333333333332,1
2022-05-17,AMH,BUY,0.0079999999999999,1
2022-05-18,AMH,BUY,-0.0324795352521784,0
2022-05-19,AMH,BUY,0.0033176665745091,1
2022-05-20,AMH,BUY,-0.0032706459525755,0
2022-05-23,AMH,BUY,0.0065359477124183,1
2022-05-24,AMH,BUY,0.0184481823114487,1
2022-05-25,AMH,BUY,0.0040010669511869,1
2022-05-26,AMH,BUY,-0.0212877792378448,0
2022-05-27,AMH,SELL,-0.0246847330292458,0
2022-05-31,AMH,BUY,-0.0235138705416116,0
2022-06-01,AMH,SELL,-0.0162910670648927,0
2022-06-02,AMH,BUY,0.0195815450643776,1
2022-06-03,AMH,SELL,0.007425086184036,1
2022-06-06,AMH,BUY,-0.0071865850412564,0
2022-06-07,AMH,BUY,0.0258551036897387,1
2022-06-08,AMH,BUY,-0.0184989429175476,0
2022-06-09,AMH,BUY,-0.0220905172413793,0
2022-06-10,AMH,BUY,-0.0016666666666667,0
2022-06-13,AMH,BUY,-0.0419281232173416,0
2022-06-14,AMH,BUY,-0.0146574932695184,0
2022-06-15,AMH,BUY,0.0060078101531992,1
2022-06-16,AMH,BUY,0.0036585365853659,1
2022-06-17,AMH,BUY,0.0012135922330096,1
2022-06-21,AMH,SELL,-0.0006020469596629,0
2022-06-22,AMH,BUY,0.023411371237458,1
2022-06-23,AMH,BUY,0.0239786856127886,1
2022-06-24,AMH,BUY,0.0117748420448017,1
2022-06-27,AMH,BUY,0.0076660988074958,1
2022-06-28,AMH,BUY,-0.0058708414872798,0
2022-06-29,AMH,BUY,0.0025452488687783,1
2022-06-30,AMH,BUY,0.008537279453614,1
2022-04-01,CHE,SELL,-0.0097033764594508,0
2022-04-04,CHE,BUY,-0.0101710858957022,0
2022-04-05,CHE,SELL,-0.0162178336325553,0
2022-04-06,CHE,SELL,-0.0199348019361849,0
2022-04-07,CHE,SELL,-0.0096513917306875,0
2022-04-08,CHE,SELL,0.0145152333352483,1
2022-04-11,CHE,SELL,0.0107324716020368,1
2022-04-12,CHE,SELL,0.0024722123333728,1
2022-04-13,CHE,SELL,-0.0109348284226012,0
2022-04-14,CHE,HOLD,0.0,0
2022-04-18,CHE,BUY,-0.0120979105439027,0
2022-04-19,CHE,BUY,0.0119311368117238,1
2022-04-20,CHE,SELL,-0.0192246330567964,0
2022-04-21,CHE,SELL,0.020033000097059,1
2022-04-22,CHE,SELL,0.0211297112871365,1
2022-04-25,CHE,SELL,-0.0185257370289066,0
2022-04-26,CHE,SELL,0.0286400516691559,1
2022-04-27,CHE,SELL,-0.0126582278481012,0
2022-04-28,CHE,SELL,-0.0097638877658283,0
2022-04-29,CHE,SELL,0.0066708443671794,1
2022-05-02,CHE,BUY,-0.0066418865395161,0
2022-05-03,CHE,SELL,-0.0189675722329538,0
2022-05-04,CHE,SELL,-0.0117343417064313,0
2022-05-05,CHE,SELL,0.0026826699521094,1
2022-05-06,CHE,SELL,-0.00472,0
2022-05-09,CHE,SELL,-0.0107955689828801,0
2022-05-10,CHE,SELL,0.0006376407293016,1
2022-05-11,CHE,BUY,-0.0192218759424952,0
2022-05-12,CHE,BUY,0.0306000330141961,1
2022-05-13,CHE,SELL,0.0022796352583586,1
2022-05-16,CHE,SELL,0.0126668537299073,1
2022-05-17,CHE,SELL,-0.0139374229906882,0
2022-05-18,CHE,SELL,0.0270774789241268,1
2022-05-19,CHE,SELL,-0.0143363939899833,0
2022-05-20,CHE,BUY,0.0012102315849931,1
2022-05-23,CHE,SELL,0.0017653862543373,1
2022-05-24,CHE,SELL,-0.004121325320773,0
